month,year,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,parent_metro_region,parent_metro_region_metro_code
June,2015,"Moore, OK",Moore,Oklahoma,OK,All Residential,-1,147000.0,149950.0,104.0,118.0,140.0,320.0,3.1,28.0,0.9806681368067296,0.1826923076923076,0.259375,"Oklahoma City, OK",36420.0
July,2021,"Nixa, MO",Nixa,Missouri,MO,Multi-Family (2-4 Unit),4,249000.0,,1.0,1.0,,,,73.0,,0.0,,"Springfield, MO",44180.0
February,2014,"Steger, IL",Steger,Illinois,IL,All Residential,-1,62300.0,36500.0,11.0,13.0,11.0,54.0,4.9,50.0,0.9671772637669626,0.2727272727272727,0.2037037037037036,"Chicago, IL",16984.0
September,2017,"Rockport, AR",Rockport,Arkansas,AR,Single Family Residential,6,155000.0,65000.0,1.0,1.0,1.0,2.0,2.0,26.0,1.0,0.0,,"Malvern, AR",31680.0
January,2019,"Footville, WI",Footville,Wisconsin,WI,All Residential,-1,150000.0,294300.0,1.0,2.0,1.0,4.0,4.0,119.0,0.9380863039399624,0.0,,"Janesville, WI",27500.0
August,2018,"Cedarburg, WI",Cedarburg,Wisconsin,WI,Single Family Residential,6,363100.0,406950.0,19.0,16.0,11.0,36.0,1.9,70.0,0.9770622256189668,0.2105263157894736,0.2777777777777777,"Milwaukee, WI",33340.0
April,2017,"Bethany, NY",Bethany,New York,NY,All Residential,-1,441100.0,229900.0,6.0,8.0,7.0,4.0,0.6999999999999998,7.0,1.1439734073537282,0.8333333333333333,,"Batavia, NY",12860.0
December,2023,"Bloomington, IN",Bloomington,Indiana,IN,Multi-Family (2-4 Unit),4,400000.0,270500.0,1.0,4.0,5.0,7.0,7.0,3340.0,0.8333333333333333,0.0,0.2857142857142857,"Bloomington, IN",14020.0
May,2015,"Manteno, IL",Manteno,Illinois,IL,Single Family Residential,6,235000.0,224987.0,11.0,11.0,13.0,51.0,4.6,51.0,0.9421127849450456,0.0,0.2941176470588235,"Kankakee, IL",28100.0
December,2024,"Union Grove, WI",Union Grove,Wisconsin,WI,Condo/Co-op,3,320990.0,,1.0,4.0,,7.0,7.0,108.0,0.9968943134879964,0.0,,"Racine, WI",39540.0
September,2021,"Winston, OR",Winston,Oregon,OR,All Residential,-1,290000.0,325000.0,11.0,17.0,15.0,14.0,1.3,24.0,0.9928361013299876,0.5454545454545454,0.1428571428571428,"Roseburg, OR",40700.0
September,2019,"Cloverleaf, TX",Cloverleaf,Texas,TX,Single Family Residential,6,174500.0,159900.0,11.0,12.0,9.0,21.0,1.9,30.0,0.957370153721259,0.0909090909090909,0.3333333333333333,"Houston, TX",26420.0
March,2024,"Glendora, NJ",Glendora,New Jersey,NJ,All Residential,-1,265000.0,290000.0,3.0,5.0,7.0,9.0,3.0,71.0,1.0291662684143406,0.6666666666666666,,"Camden, NJ",15804.0
November,2021,"Lookingglass, OR",Lookingglass,Oregon,OR,Single Family Residential,6,280000.0,629000.0,1.0,,1.0,4.0,4.0,117.0,0.8888888888888888,0.0,0.25,"Roseburg, OR",40700.0
July,2012,"Lake Brownwood, TX",Lake Brownwood,Texas,TX,Single Family Residential,6,80000.0,69900.0,1.0,1.0,7.0,31.0,31.0,210.0,0.9580838323353292,0.0,,"Brownwood, TX",15220.0
February,2019,"Draper, UT",Draper,Utah,UT,Single Family Residential,6,504950.0,475000.0,30.0,41.0,49.0,150.0,5.0,96.0,1.0287530288790865,0.3333333333333333,0.1933333333333333,"Salt Lake City, UT",41620.0
October,2015,"Brook Highland, AL",Brook Highland,Alabama,AL,All Residential,-1,300000.0,214900.0,6.0,11.0,12.0,50.0,8.3,22.0,0.97738898563273,0.0,,"Birmingham, AL",13820.0
November,2014,"Wyboo, SC",Wyboo,South Carolina,SC,All Residential,-1,196250.0,221950.0,4.0,4.0,2.0,22.0,5.5,260.0,0.8919469363279763,0.0,,"Sumter, SC",44940.0
April,2022,"Grassflat, PA",Grassflat,Pennsylvania,PA,Single Family Residential,6,30000.0,,1.0,1.0,,1.0,1.0,243.0,0.7994670219853431,0.0,,"DuBois, PA",20180.0
October,2023,"Kings Mountain, NC",Kings Mountain,North Carolina,NC,All Residential,-1,231750.0,199500.0,14.0,16.0,16.0,44.0,3.1,60.0,0.9784690428574128,0.4285714285714285,0.4090909090909091,"Shelby, NC",43140.0
October,2015,"Anderson Creek, NC",Anderson Creek,North Carolina,NC,Condo/Co-op,3,169900.0,,1.0,1.0,,15.0,15.0,292.0,1.0,0.0,,"Fayetteville, NC",22180.0
September,2019,"South Hill, NY",South Hill,New York,NY,Single Family Residential,6,258000.0,280000.0,4.0,4.0,3.0,12.0,3.0,103.0,1.0101499068168096,0.5,,"Ithaca, NY",27060.0
June,2020,"Tonawanda, NY",Tonawanda,New York,NY,Multi-Family (2-4 Unit),4,152500.0,175000.0,2.0,5.0,7.0,6.0,3.0,227.0,0.9310344827586206,0.0,0.1666666666666666,"Buffalo, NY",15380.0
March,2013,"Lima, PA",Lima,Pennsylvania,PA,Single Family Residential,6,130000.0,442500.0,1.0,1.0,4.0,4.0,4.0,94.0,0.7692307692307692,0.0,,"Philadelphia, PA",37964.0
July,2018,"West Pittsburg, PA",West Pittsburg,Pennsylvania,PA,Single Family Residential,6,88000.0,,1.0,1.0,,5.0,5.0,42.0,0.979955456570156,0.0,,"New Castle, PA",35260.0
September,2024,"Lawson, MO",Lawson,Missouri,MO,Single Family Residential,6,365000.0,259000.0,2.0,,5.0,,4.0,12.0,,,,"Kansas City, MO",28140.0
March,2014,"South Rockwood, MI",South Rockwood,Michigan,MI,Single Family Residential,6,46000.0,750.0,1.0,1.0,1.0,6.0,6.0,2458.0,0.8363636363636363,0.0,,"Monroe, MI",33780.0
June,2013,"Whitehall, MI",Whitehall,Michigan,MI,All Residential,-1,92387.5,89900.0,2.0,2.0,7.0,22.0,11.0,145.0,0.8818153825977783,0.0,,"Muskegon, MI",34740.0
April,2015,"Heritage Lake, IL",Heritage Lake,Illinois,IL,All Residential,-1,169000.0,239900.0,1.0,1.0,2.0,14.0,14.0,652.0,0.9718228867165036,0.0,,"Peoria, IL",37900.0
November,2020,"Riverview Park, PA",Riverview Park,Pennsylvania,PA,All Residential,-1,210000.0,202400.0,3.0,3.0,2.0,4.0,1.3,7.0,0.9787925431845392,0.0,,"Reading, PA",39740.0
December,2024,"Cottage Grove, MN",Cottage Grove,Minnesota,MN,All Residential,-1,420000.0,409900.0,43.0,40.0,31.0,96.0,2.2,50.0,0.9913537906138874,0.2093023255813953,0.3229166666666666,"Minneapolis, MN",33460.0
July,2015,"Jacksonville, OR",Jacksonville,Oregon,OR,All Residential,-1,390000.0,409450.0,7.0,7.0,12.0,50.0,7.1,158.0,0.9934230033525352,0.2857142857142857,,"Medford, OR",32780.0
November,2021,"Rancho Palos Verdes, CA",Rancho Palos Verdes,California,CA,Condo/Co-op,3,937500.0,1675000.0,4.0,6.0,2.0,10.0,2.5,117.0,0.9736961964931458,0.0,0.4,"Los Angeles, CA",31084.0
June,2024,"Fairmont, OK",Fairmont,Oklahoma,OK,Single Family Residential,6,100500.0,,2.0,,,,,257.0,0.9131533808792994,0.0,,"Enid, OK",21420.0
May,2016,"Taylors, SC",Taylors,South Carolina,SC,Condo/Co-op,3,112000.0,167450.0,1.0,1.0,2.0,2.0,2.0,45.0,0.8967173738991193,0.0,,"Greenville, SC",24860.0
April,2017,"East Greenbush, NY",East Greenbush,New York,NY,All Residential,-1,273000.0,231000.0,4.0,10.0,8.0,10.0,2.5,30.0,0.9550382163134196,0.0,0.2,"Albany, NY",10580.0
January,2015,"New Britain, PA",New Britain,Pennsylvania,PA,All Residential,-1,287750.0,258450.0,4.0,5.0,2.0,6.0,1.5,102.0,0.9582235962866142,0.0,,"Montgomery County, PA",33874.0
December,2023,"Bridgeview, IL",Bridgeview,Illinois,IL,Townhouse,13,252250.0,,2.0,1.0,,2.0,1.0,37.0,0.9848911921061688,0.0,,"Chicago, IL",16984.0
June,2021,"East York, PA",East York,Pennsylvania,PA,All Residential,-1,212450.0,199950.0,16.0,20.0,24.0,16.0,1.0,4.0,1.0525760134614657,0.6875,0.5,"York, PA",49620.0
July,2021,"Aquasco, MD",Aquasco,Maryland,MD,Single Family Residential,6,280000.0,454950.0,1.0,3.0,2.0,7.0,7.0,110.0,0.8752735229759299,0.0,0.1428571428571428,"Washington, DC",47894.0
May,2023,"Holiday City-Berkeley, NJ",Holiday City-Berkeley,New Jersey,NJ,Single Family Residential,6,282500.0,300000.0,44.0,70.0,57.0,117.0,2.7,51.0,1.0002527341763754,0.2954545454545454,0.188034188034188,"New Brunswick, NJ",35154.0
January,2020,"Bristol, VA",Bristol,Virginia,VA,Condo/Co-op,3,89900.0,154900.0,1.0,1.0,2.0,5.0,5.0,217.0,1.0,0.0,,"Kingsport, TN",28700.0
February,2017,"Belmont, NC",Belmont,North Carolina,NC,Single Family Residential,6,225000.0,294900.0,12.0,,28.0,118.0,9.8,107.0,0.9800819162857184,0.4166666666666666,0.0677966101694915,"Charlotte, NC",16740.0
May,2021,"Southchase, FL",Southchase,Florida,FL,All Residential,-1,302500.0,317900.0,20.0,20.0,25.0,13.0,0.6999999999999998,11.0,0.9994541675428602,0.5,0.1538461538461538,"Orlando, FL",36740.0
January,2020,"Catlett, VA",Catlett,Virginia,VA,Single Family Residential,6,270000.0,,1.0,2.0,,4.0,4.0,17.0,0.9818181818181818,0.0,,"Washington, DC",47894.0
May,2017,"Edgewood, NM",Edgewood,New Mexico,NM,All Residential,-1,247500.0,239000.0,12.0,22.0,15.0,32.0,2.7,9.0,0.9805566248685134,0.0833333333333333,0.28125,"Santa Fe, NM",42140.0
August,2012,"Union Valley, TX",Union Valley,Texas,TX,Single Family Residential,6,129900.0,114000.0,1.0,,1.0,6.0,6.0,865.0,0.9622222222222222,0.0,0.1666666666666666,"Dallas, TX",19124.0
June,2020,"St. James, MD",St. James,Maryland,MD,Single Family Residential,6,326966.0,337250.0,12.0,11.0,9.0,16.0,1.3,62.0,0.9900563199047828,0.1666666666666666,0.1875,"Hagerstown, MD",25180.0
May,2018,"Windham, ME",Windham,Maine,ME,Townhouse,13,297000.0,282450.0,1.0,2.0,1.0,,,19.0,1.0,0.0,,"Portland, ME",38860.0
June,2019,"Walkertown, NC",Walkertown,North Carolina,NC,All Residential,-1,206910.0,260000.0,12.0,8.0,3.0,26.0,2.2,37.0,0.9941090921041792,0.3333333333333333,0.4615384615384615,"Winston-Salem, NC",49180.0
January,2020,"Leander, TX",Leander,Texas,TX,Single Family Residential,6,278500.0,284990.0,123.0,214.0,157.0,329.0,2.7,60.0,0.9852593366609153,0.1056910569105691,0.2006079027355623,"Austin, TX",12420.0
June,2018,"Cross Roads, TX",Cross Roads,Texas,TX,All Residential,-1,380000.0,484900.0,2.0,,3.0,13.0,6.5,16.0,1.0015626217753877,0.5,0.2307692307692307,"Dallas, TX",19124.0
May,2017,"Mount Pleasant, NC",Mount Pleasant,North Carolina,NC,Single Family Residential,6,250000.0,265000.0,1.0,,1.0,4.0,4.0,31.0,1.0040160642570282,1.0,,"Charlotte, NC",16740.0
June,2012,"Brigantine, NJ",Brigantine,New Jersey,NJ,All Residential,-1,280000.0,337400.0,23.0,23.0,46.0,310.0,13.5,69.0,0.9096157364051064,0.0434782608695652,,"Atlantic City, NJ",12100.0
September,2019,"Manchester, GA",Manchester,Georgia,GA,Multi-Family (2-4 Unit),4,100000.0,,1.0,1.0,,,,191.0,0.8,0.0,,"Atlanta, GA",12060.0
October,2012,"Vero Lake Estates, FL",Vero Lake Estates,Florida,FL,All Residential,-1,91000.0,92997.5,17.0,15.0,16.0,59.0,3.5,75.0,0.9733453300417356,0.1764705882352941,,"Sebastian, FL",42680.0
